Voltage (mV)	Current (mA)
-200.000000  -9.787637e-07
-100.000000   7.312201e-07
   0.000000   2.350651e-07
 100.000000   4.711865e-07
 200.000000   1.945310e-07
 300.000000   1.497479e-07
 400.000000   3.106217e-08
 500.000000  -1.235845e-07
 600.000000   7.638684e-08
 700.000000   3.385038e-07
 800.000000   1.297517e-07
 900.000000   2.859302e-07
1000.000000   2.403972e-07
1100.000000   3.093841e-07
