Voltage (mV)	Current (mA)
-200.000000   3.106228e-08
-100.000000  -4.542428e-08
   0.000000   5.264152e-08
 100.000000   3.639460e-08
 200.000000  -8.687927e-08
 300.000000   9.125925e-08
 400.000000   5.089185e-08
 500.000000   1.007575e-07
 600.000000   1.225866e-07
 700.000000   7.288780e-08
 800.000000   1.115054e-07
 900.000000   1.353342e-07
1000.000000   1.326681e-07
1100.000000   1.749933e-07
